Iteration:1, Time:75ms, TotalError:0.55437, ErrorChange:0.55437
Iteration:82, Time:1ms, TotalError:0.028105056, ErrorChange:-0.0011595301
Iteration:83, Time:1ms, TotalError:0.027046654, ErrorChange:-0.0010584015
Iteration:84, Time:1ms, TotalError:0.026079433, ErrorChange:-9.6722133E-4
Iteration:85, Time:1ms, TotalError:0.025194198, ErrorChange:-8.8523515E-4
Iteration:86, Time:2ms, TotalError:0.024382675, ErrorChange:-8.115228E-4
Iteration:87, Time:1ms, TotalError:0.023637451, ErrorChange:-7.4522384E-4
Iteration:88, Time:2ms, TotalError:0.022951933, ErrorChange:-6.855186E-4
Iteration:89, Time:1ms, TotalError:0.022320265, ErrorChange:-6.316677E-4
Iteration:90, Time:2ms, TotalError:0.021737263, ErrorChange:-5.8300234E-4
Iteration:91, Time:1ms, TotalError:0.021198394, ErrorChange:-5.3886883E-4
Iteration:92, Time:2ms, TotalError:0.020699617, ErrorChange:-4.9877726E-4
Iteration:93, Time:1ms, TotalError:0.0202374, ErrorChange:-4.6221726E-4
Iteration:94, Time:2ms, TotalError:0.019808616, ErrorChange:-4.2878278E-4
Iteration:95, Time:1ms, TotalError:0.019410435, ErrorChange:-3.9818138E-4
Iteration:96, Time:2ms, TotalError:0.019040402, ErrorChange:-3.7003309E-4
Iteration:97, Time:1ms, TotalError:0.018696327, ErrorChange:-3.4407526E-4
Iteration:98, Time:2ms, TotalError:0.018376226, ErrorChange:-3.2010116E-4
Iteration:99, Time:1ms, TotalError:0.018078279, ErrorChange:-2.9794686E-4
Iteration:100, Time:2ms, TotalError:0.017800922, ErrorChange:-2.7735718E-4
Iteration:101, Time:1ms, TotalError:0.017542657, ErrorChange:-2.5826506E-4
Iteration:102, Time:2ms, TotalError:0.017302161, ErrorChange:-2.4049543E-4
Iteration:103, Time:1ms, TotalError:0.017078228, ErrorChange:-2.2393279E-4
Iteration:104, Time:2ms, TotalError:0.016869688, ErrorChange:-2.0853989E-4
Iteration:105, Time:1ms, TotalError:0.01667552, ErrorChange:-1.9416772E-4
Iteration:106, Time:1ms, TotalError:0.016494732, ErrorChange:-1.8078834E-4
Iteration:107, Time:1ms, TotalError:0.016326418, ErrorChange:-1.683142E-4
Iteration:108, Time:1ms, TotalError:0.016169706, ErrorChange:-1.5671179E-4
Iteration:109, Time:1ms, TotalError:0.016023789, ErrorChange:-1.4591776E-4
Iteration:110, Time:1ms, TotalError:0.015887864, ErrorChange:-1.3592467E-4
Iteration:111, Time:1ms, TotalError:0.015761157, ErrorChange:-1.2670644E-4
Iteration:112, Time:1ms, TotalError:0.015642932, ErrorChange:-1.1822581E-4
Iteration:113, Time:1ms, TotalError:0.015532458, ErrorChange:-1.10473484E-4
Iteration:114, Time:1ms, TotalError:0.015428972, ErrorChange:-1.0348577E-4
Iteration:115, Time:2ms, TotalError:0.015331759, ErrorChange:-9.721331E-5
Iteration:116, Time:1ms, TotalError:0.015240067, ErrorChange:-9.169243E-5
Iteration:117, Time:2ms, TotalError:0.015153116, ErrorChange:-8.695107E-5
Iteration:118, Ti
